# Release Date  : 20231205023936
# Start Field Description
# Dot#        4-character identifier for a given station
# Name        16-character station name
# Ref_epoch   Date and time at which the station position is as given in ref_XYZ and ref_NEU. Format is YYYYMMDDhhmmss.
# Ref_jday    Reference epoch, represented as Modified Julian day
# Ref_X       Reference X coordinate at Ref_epoch, meters
# Ref_Y       Reference Y coordinate at Ref_epoch, meters
# Ref_Z       Reference Z coordinate at Ref_epoch, meters
# Ref_Nlat    Reference North latitude WGS-84 ellipsoid, decimal degrees
# Ref_Elong   Reference East Longitude WGS-84 ellipsoid, decimal degrees
# Ref_Up      Reference Height  WGS-84 ellipsoid, meters 
# dX/dt       X component of station velocity, meters/yr
# dY/dt       Y component of station velocity, meters/yr
# dZ/dt       Z component of station velocity, meters/yr
# SXd         Standard deviation of X velocity, meters/yr
# SYd         Standard deviation of Y velocity,  meters/yr
# SZd         Standard deviation of Z velocity,  meters/yr
# Rxy         Correlation of X and Y velocity
# Rxz         Correlation of X and Z velocity
# Ryz         Correlation of Y and Z velocity, 
# dN/dt       North component of station velocity, meters/yr
# dE/dt       East component of station velocity, meters/yr
# dU/dt       Vertical component of station velocity, meters/yr
# SNd         Standard deviation of North velocity, meters/yr
# SEd         Standard deviation of East velocity, meters/yr
# SUd         Standard deviation of vertical velocity, meters/yr
# Rne         Correlation of North and East velocity
# Rnu         Correlation of North and vertical velocity
# Reu         Correlation of East and vertical velocity
# first_epoch Epoch of first data used to derive the station velocity, in the same format as ref_epoch.
# last_epoch  Epoch of last data used to derive the station velocity, in the same format as ref_epoch.
# End Field Description 
#Dot#,Type,Ref_epoch,Ref_jday,Ref_X,Ref_Y,Ref_Z,Ref_Nlat,Ref_Elong,Ref_Up,dX/dt,dY/dt,dZ/dt,SXd,SYd,SZd,Rxy,Rxz,Rzy,dN/dt,dE/dt,dU/dt,SNd,SEd,SUd,Rne,Rnu,Reu,first_epoch,last_epoch,n_observations
0001,survey,19941102120000,49658.5000,-2581457.64570,-4600859.94210,3572641.78449,34.2848530892,240.7040208756,77.90925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02351,-0.04831,-0.00155,0.00152,0.00147,0.00573,-0.000,NaN,NaN,19920605120000,19941103120000,6
0002,survey,19950412120000,49819.5000,-2196777.96561,-4887337.05080,3448425.19509,32.9391349564,245.7968633517,238.48549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00785,-0.01631,0.01803,0.00101,0.00111,0.00436,-0.000,NaN,NaN,19930215120000,19950412120000,14
0003,survey,19950726120000,49924.5000,-2447820.09389,-4710984.01381,3523652.43859,33.7504215526,242.5436805089,341.97455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02724,-0.03523,-0.00548,0.00155,0.00180,0.00521,-0.000,NaN,NaN,19920617120000,19950727120000,4
0019,survey,19941013120000,49638.5000,-2497948.97702,-4628341.52294,3598684.99193,34.5609744342,241.6439465556,1446.69964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.01000,-0.04865,-0.00058,0.00171,0.00172,0.00588,-0.000,NaN,NaN,19921023120000,19941013120000,7
0027,survey,19990902120000,51423.5000,-2474937.86350,-4626149.96699,3615865.96801,34.7540681900,241.8537230534,669.61234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00618,-0.02982,-0.00276,0.00074,0.00094,0.00273,-0.000,NaN,NaN,19911104120000,19990902120000,7
0028,survey,19990831120000,51421.5000,-2671143.96911,-4350711.05511,3810407.14638,36.9211550648,238.4519172028,9.39094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01319,-0.03434,0.00141,0.00051,0.00049,0.00219,-0.000,NaN,NaN,19940513130000,19990902120000,13
0041,survey,19950424120000,49831.5000,-2313674.80101,-4835549.48101,3444456.51599,32.8982462897,244.4301928558,-59.65705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00956,-0.02790,0.01864,0.00240,0.00244,0.01064,-0.000,NaN,NaN,19930115120000,19950425120000,3
0048,survey,19990910120000,51431.5000,-2491350.12839,-4635570.83680,3593149.11921,34.5033391301,241.7445519192,974.33509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01196,-0.04052,0.00022,0.00089,0.00105,0.00342,-0.000,NaN,NaN,19911024180000,19990910120000,7
0091,survey,19951214120000,50065.5000,-2380837.31080,-4794114.04980,3458003.49060,33.0390606942,243.5902356153,756.62037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01654,-0.04142,0.00082,0.00078,0.00078,0.00116,-0.000,NaN,NaN,19950814120000,20140420140000,6
0094,survey,19990403130000,51271.5417,-2542604.08301,-4632450.67800,3560028.41559,34.1463756498,241.2390243280,236.53794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02086,-0.04348,-0.00434,0.00081,0.00078,0.00331,-0.000,NaN,NaN,19920603120000,19990403130000,12
0114,survey,19950817120000,49946.5000,-2378409.30900,-4788820.73241,3466392.56729,33.1310791828,243.5883089706,459.03533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01501,-0.04016,0.00034,0.00084,0.00083,0.00143,-0.000,NaN,NaN,19950816120000,20140420140000,3
0116,survey,19941031120000,49656.5000,-2578422.13000,-4612348.72391,3559885.65058,34.1464660264,240.7936815108,-32.58607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02048,-0.03173,-0.00463,0.00538,0.00785,0.01471,-0.000,NaN,NaN,19920604120000,19941031120000,3
0117,survey,19941031120000,49656.5000,-2569611.67530,-4619389.23960,3557156.23560,34.1166996512,240.9142764747,-26.05506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02002,-0.03970,0.00467,0.00758,0.00761,0.00878,-0.000,NaN,NaN,19920604120000,19941031120000,5
0140,survey,19940919120000,49614.5000,-2442254.60521,-4654102.04710,3602682.14460,34.6081584618,242.3116168036,895.35442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00574,-0.03162,0.00023,0.00090,0.00106,0.00394,-0.000,NaN,NaN,19921028120000,19951022120000,7
0141,survey,19990625120000,51354.5000,-2504582.99100,-4630720.29260,3589418.44241,34.4653617475,241.5927063830,519.22207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01191,-0.03931,-0.00139,0.00097,0.00113,0.00408,-0.000,NaN,NaN,19921021130000,19990625120000,9
0149,survey,19941011120000,49636.5000,-2487847.13629,-4661004.14440,3561391.74061,34.1613791809,241.9085837672,211.67076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01395,-0.03900,0.00869,0.00273,0.00259,0.00933,-0.000,NaN,NaN,19921016130000,19941027120000,7
0152,survey,19941009120000,49634.5000,-2507683.73016,-4660144.04826,3548326.20533,34.0203176287,241.7147311194,20.51303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02033,-0.04303,-0.00169,0.00311,0.00300,0.00966,-0.000,NaN,NaN,19921014130000,19941009120000,6
0153,survey,19990624130000,51353.5417,-2497165.37900,-4662846.40410,3552309.38820,34.0631642115,241.8289344606,100.78209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01379,-0.04061,0.00372,0.00065,0.00060,0.00310,-0.000,NaN,NaN,19921015130000,19990624130000,10
0174,survey,19930222140000,49040.5833,-2369129.25419,-4742220.79825,3535111.68239,33.8758615286,243.4541010667,159.60633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930222140000,19930222140000,1
0175,survey,19930222140000,49040.5833,-2368003.22831,-4740188.92733,3538653.25053,33.9140320953,243.4551741945,208.14913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930222140000,19930222140000,1
0180,survey,19930224140000,49042.5833,-2348944.61810,-4752431.29452,3535071.53526,33.8747493925,243.6985778528,271.33273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930224140000,19930224140000,1
0181,survey,19930224140000,49042.5833,-2350024.29551,-4753244.61770,3533132.29719,33.8541663870,243.6920132084,193.43564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00278,-0.02611,0.00669,0.00111,0.00106,0.00198,-0.000,NaN,NaN,19930224140000,20150329120000,13
0182,survey,19930224140000,49042.5833,-2350371.51434,-4754123.00135,3531640.22572,33.8382680398,243.6928563305,144.17883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930224140000,19930224140000,1
